"Subject","Shifting.tray.correct","Shifting.tray.correct.S1","Shifting.tray.correct.S2","Shifting.shelf.correct","shelf_switching_mistakes","shelf_switches","SD","SR","CD","ID","ED"
"Ajabu",0.541666666666667,0.625,0.458333333333333,0.388888888888889,19,2,0.538461538461538,0.125,0.727272727272727,1,0.45
"Akela",0.458333333333333,0.5,0.416666666666667,0.527777777777778,12,7,0.611111111111111,0,0.823529411764706,0.857142857142857,0.5
"Alikaka",0.583333333333333,0.5,0.666666666666667,0.472222222222222,13,5,0.666666666666667,0.166666666666667,0.615384615384615,0.857142857142857,0.45
"Alley",0.583333333333333,0.583333333333333,0.583333333333333,0.833333333333333,5,8,0.533333333333333,0.291666666666667,0.857142857142857,0.857142857142857,0.55
"Amahirwe",0.625,0.625,0.625,0.805555555555556,4,8,0.636363636363636,0,0.666666666666667,0.857142857142857,0.475
"Amizero",0.583333333333333,0.541666666666667,0.625,0.444444444444444,16,4,0.685714285714286,0.125,0.769230769230769,0.818181818181818,0.475
"Angela",0.541666666666667,0.583333333333333,0.5,0.444444444444444,15,3,0.722222222222222,0.333333333333333,0.727272727272727,0.875,0.525
"Asega",0.604166666666667,0.458333333333333,0.75,0.444444444444444,17,4,0.611111111111111,0.733333333333333,0.8,0.857142857142857,0.525
"Bahati",0.625,0.583333333333333,0.666666666666667,0.5,12,4,0.529411764705882,0.375,0.785714285714286,0.777777777777778,0.5
"Baluku",0.541666666666667,0.416666666666667,0.666666666666667,0.638888888888889,13,6,0.75,0.416666666666667,0.75,0.857142857142857,0.5
"Becky",0.520833333333333,0.583333333333333,0.458333333333333,0.5,13,4,0.6,0.125,0.5,1,0.375
"Bili",0.479166666666667,0.5,0.458333333333333,0.722222222222222,6,7,0.733333333333333,0,0.583333333333333,1,0.45
"Bwambale",0.4375,0.375,0.5,0.722222222222222,8,6,0.666666666666667,0.208333333333333,0.866666666666667,0.818181818181818,0.6
"Cheetah",0.5,0.5,0.5,0.666666666666667,10,7,0.666666666666667,0.0416666666666667,0.55,0.75,0.475
"Chipie",0.5625,0.541666666666667,0.583333333333333,0.805555555555556,3,8,0.558823529411765,0.0416666666666667,0.705882352941177,0.666666666666667,0.5
"Cocoa",0.5625,0.458333333333333,0.666666666666667,0.416666666666667,16,4,0.625,0.0416666666666667,0.7,0.857142857142857,0.45
"Dufatanya",0.541666666666667,0.541666666666667,0.541666666666667,0.638888888888889,8,4,0.666666666666667,0.208333333333333,0.476190476190476,0.857142857142857,0.425
"Edvard",0.458333333333333,0.291666666666667,0.625,0.638888888888889,12,6,0.459459459459459,0.0416666666666667,0.636363636363636,1,0.55
"Indi",0.541666666666667,0.5,0.583333333333333,0.833333333333333,4,8,0.490196078431373,0,0.888888888888889,1,0.475
"Jane",0.729166666666667,0.625,0.833333333333333,0.388888888888889,15,2,0.777777777777778,0.9,0.789473684210526,0.846153846153846,0.6
"Joy",0.520833333333333,0.333333333333333,0.708333333333333,0.722222222222222,5,6,0.533333333333333,0.25,0.769230769230769,0.722222222222222,0.55
"Judy",0.395833333333333,0.458333333333333,0.333333333333333,0.527777777777778,6,1,0.692307692307692,0.5,0.764705882352941,0.785714285714286,0.5
"Julia",0.645833333333333,0.583333333333333,0.708333333333333,NA,NA,NA,0.590909090909091,0.291666666666667,0.692307692307692,0.823529411764706,0.425
"Kalema",0.479166666666667,0.5,0.458333333333333,0.194444444444444,20,2,0.583333333333333,0.333333333333333,0.833333333333333,0.818181818181818,0.575
"Kidogo",0.541666666666667,0.625,0.458333333333333,0.444444444444444,12,3,0.565217391304348,0.125,0.571428571428571,0.75,0.5
"Kisa",0.583333333333333,0.375,0.791666666666667,0.694444444444444,8,7,0.560606060606061,0.458333333333333,0.625,0.785714285714286,0.525
"Kisembo",0.5,0.5,0.5,0.722222222222222,8,7,0.488888888888889,0,0.36,1,0.45
"Manno",0.604166666666667,0.458333333333333,0.75,0.527777777777778,15,5,0.727272727272727,0.291666666666667,0.818181818181818,0.857142857142857,0.5
"Mary",0.5,0.5,0.5,0.611111111111111,7,6,0.684210526315789,0.125,0.764705882352941,0.857142857142857,0.525
"Mawa",0.416666666666667,0.375,0.458333333333333,0.527777777777778,16,6,0.846153846153846,0.333333333333333,0.666666666666667,1,0.525
"Medina",0.416666666666667,0.375,0.458333333333333,0.583333333333333,10,5,0.875,0.125,0.777777777777778,1,0.5
"Mwanzo",0.479166666666667,0.458333333333333,0.5,NA,NA,NA,0.571428571428571,0.0416666666666667,0.545454545454545,0.75,0.525
"Nakuu",0.5625,0.541666666666667,0.583333333333333,0.611111111111111,13,6,0.36,0.125,0.833333333333333,0.857142857142857,0.475
"Namukisa",0.5625,0.583333333333333,0.541666666666667,0.638888888888889,11,6,0.566666666666667,0.125,0.8,0.857142857142857,0.55
"Nani",0.479166666666667,0.5,0.458333333333333,0.527777777777778,6,4,0.520833333333333,0.0416666666666667,0.6,1,0.625
"Niyonkuru",0.5,0.5,0.5,0.694444444444444,8,7,0.650793650793651,0.166666666666667,0.636363636363636,1,0.45
"Nkuumwa",0.479166666666667,0.458333333333333,0.5,0.888888888888889,4,10,0.444444444444444,0.0833333333333333,0.857142857142857,0.875,0.5
"Okech",0.4375,0.5,0.375,0.75,8,8,0.714285714285714,0.0416666666666667,0.526315789473684,1,0.475
"Oscar",0.479166666666667,0.458333333333333,0.5,0.583333333333333,1,2,0.5625,0.375,0.681818181818182,0.857142857142857,0.425
"Pasa",0.520833333333333,0.416666666666667,0.625,0.833333333333333,4,10,0.818181818181818,0.478260869565217,0.857142857142857,0.857142857142857,0.45
"Rambo",0.708333333333333,0.625,0.791666666666667,0.277777777777778,21,3,0.592592592592593,0,0.8,1,0.475
"Roy",0.625,0.5,0.75,0.833333333333333,6,8,0.5,0.0769230769230769,0.615384615384615,1,0.5
"Safari",NA,0.333333333333333,NA,NA,NA,NA,0.5,0.0416666666666667,0.692307692307692,0.75,0.6
"Saidia",NA,0.416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sally",0.583333333333333,0.625,0.541666666666667,0.638888888888889,1,2,0.642857142857143,0.375,0.727272727272727,0.857142857142857,0.4
"Sara",0.479166666666667,0.583333333333333,0.375,0.861111111111111,5,10,0.578947368421053,0.157894736842105,0.6,1,0.5
"Tess",0.479166666666667,0.458333333333333,0.5,0.5,16,6,0.541666666666667,NA,0.583333333333333,0.909090909090909,0.525
"Tumbo",0.583333333333333,0.583333333333333,0.583333333333333,0.416666666666667,11,4,0.56140350877193,0.333333333333333,0.523809523809524,0.785714285714286,0.475
"Umugenzi",0.583333333333333,0.541666666666667,0.625,0.861111111111111,4,8,0.666666666666667,0.0416666666666667,1,1,0.525
"Umutama",0.520833333333333,0.5,0.541666666666667,0.916666666666667,3,10,0.875,0.421052631578947,0.8,0.857142857142857,0.5
